,Company,State,City,Started in,Founders,Industries,Number of employees,Funding,Funding rounds,Number of investors,Website
0, Urban Company,Haryana,Gurgaon,2014,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Apps, Home Services, Marketplace, Service Industry",1001-5000,"$445,920,356",12,"16 (Bessemer Venture Partners, Tiger Global Management, Accel, Wellington Management, Dragoneer Investment Group)",https://www.urbancompany.com
1, Classplus,Uttar Pradesh,Noida,2018,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustagi","B2B, E-Learning, EdTech, Education, Mobile Apps, SaaS, Software",101-250,"$89,506,451",10,"20 (Sequoia Capital India, Kunal Shah, Tiger Global Management, GSV Ventures, RTP Global)",https://classplusapp.com/
2, Paytm,Uttar Pradesh,Noida,2010,"Akshay Khanna, Vijay Shekhar Sharma","E-Commerce, Finance, Financial Services, Internet, Mobile Apps, Mobile Payments",501-1000,"$32,448,851",4,"4 (Vijay Shekhar Sharma, K2 Global, Investopad, One97 Mobility Fund)",https://paytm.com/
3, Apna,Maharashtra,Mumbai,2019,Nirmit Parikh,"Employment, Human Resources, Recruiting, Staffing Agency",101-250,"$93,450,000",4,"6 (Sequoia Capital India, Greenoaks Capital, Tiger Global Management, Insight Partners, rocketship.vc)",https://apna.co
4, Razorpay,Karnataka,Bengaluru,2014,"Harshil Mathur, Shashank Kumar","Financial Services, FinTech, Payments, Software",1001-5000,"$366,600,000",7,"29 (Sequoia Capital India, Ribbit Capital, Kunal Shah, GIC, Tiger Global Management)",https://razorpay.com/
5, UpGrad,Maharashtra,Mumbai,2015,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","E-Learning, EdTech, Education",1001-5000,"$176,283,446",4,"4 (Temasek Holdings, International Finance Corporation, IIFL Asset Management, Unilazer Ventures)",https://upgrad.com
6, Delhivery,Haryana,Gurgaon,2011,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","E-Commerce, Freight Service, Last Mile Transportation, Logistics, Shipping, Supply Chain Management, Transportation, Warehousing",5001-10000,"$1,236,569,361",11,"13 (SoftBank, GIC, The Carlyle Group, Tiger Global Management, Canada Pension Plan Investment Board)",https://www.delhivery.com
7, mg,Haryana,Gurgaon,2015,"Anurag Mundhada, Gaurav Agarwal, Prashant Tandon, Sameer Maheshwari, Vikas Chauhan","Delivery, E-Commerce, Health Care, Internet, Medical, Pharmaceutical",11-50,"$204,600,209",16,"17 (Sequoia Capital India, Intel Capital, Sequoia Capital, International Finance Corporation, Maverick Ventures)",https://www.1mg.com/
8, BigBasket,Karnataka,Bengaluru,2011,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Ramesh, VS Sudhakar","Delivery, Delivery Service, E-Commerce, Grocery, Internet, Retail, Shopping",5001-10000,"$1,119,863,468",17,"17 (Bessemer Venture Partners, Alibaba Group, International Finance Corporation, Paytm Mall, Sands Capital Ventures)",https://bigbasket.com
9, GoMechanic,Haryana,Gurgaon,2016,"Amit Bhasin, Kushal Karwa, Nitin Rana, Puneet Gulati, Rishabh Karwa","Automotive, Customer Service, E-Commerce, Sales",251-500,"$59,849,371",8,"9 (Sequoia Capital India, Venture Catalysts, Tiger Global Management, Orios Venture Partners, Chiratae Ventures)",https://gomechanic.in/
10, Unacademy,Karnataka,Bengaluru,2015,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","E-Learning, EdTech, Education, Training",251-500,"$398,500,000",11,"36 (Facebook, SoftBank Vision Fund, General Atlantic, Sequoia Capital India, Sequoia Capital)",https://unacademy.com/
11, Ola,Karnataka,Kormangala,2010,"Ankit Bhati, Bhavish Aggarwal","Apps, Internet, Mobile, Ride Sharing, Transportation",5001-10000,"$3,808,672,049",25,"45 (SoftBank, Tencent, DST Global, Sequoia Capital India, Temasek Holdings)",https://www.olacabs.com
12, Licious,Karnataka,Bengaluru,2015,"Abhay Hanjura, Vivek Gupta","Delivery Service, E-Commerce, Food and Beverage, Food Delivery",1001-5000,"$158,589,644",7,"20 (Vertex Ventures, Mayfield Fund, InnoVen Capital, 3one4 Capital, Bertelsmann)",https://www.licious.in
13, CRED,Karnataka,Bengaluru,2018,Kunal Shah,"Credit Cards, Financial Services, FinTech, Payments, Personal Finance",251-500,"$471,205,550",6,"28 (General Catalyst, DST Global, Sequoia Capital India, Ribbit Capital, Greenoaks Capital)",https://www.cred.club
14, CityMall,Haryana,Gurgaon,2019,"Angad Kikla, Divij Goyal, Naisheel Verdhan","Consumer Goods, E-Commerce, Lifestyle",101-250,"$37,100,000",5,"14 (General Catalyst, Venture Catalysts, LetsVenture, Accel, SAIF Partners)",http://www.citymall.live/
15, Pine Labs,Uttar Pradesh,Noida,1998,"Rajul Garg, Tarun Upaday","Financial Services, FinTech, Information Technology, Payments",1001-5000,"$423,238,799",8,"15 (Sequoia Capital India, Temasek Holdings, Flipkart, Mastercard, PayPal Ventures)",https://www.pinelabs.com
16, Dodla Dairy,Andhra Pradesh,Hyderabad,1995,D. Sunil Reddy,"Consumer Goods, Food and Beverage, Food Processing, Manufacturing",501-1000,"$71,276,176",3,"13 (International Finance Corporation, VenturEast, SBI Mutual Fund, White Oak Capital Management, Aditya Birla Sunlife Mutual Fund)",https://www.dodladairy.com
17, Groww,Karnataka,Bengaluru,2017,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Financial Services, FinTech, Funding Platform, Impact Investing",251-500,"$142,262,674",6,"16 (Sequoia Capital India, Ribbit Capital, Tiger Global Management, Y Combinator, Insignia Ventures Partners)",https://groww.in/
18, Grofers,Haryana,Gurgaon,2013,"Albinder Dhindsa, Saurabh Kumar","Delivery, E-Commerce, E-Commerce Platforms, Grocery, Retail",1001-5000,"$662,398,135",13,"13 (SoftBank, SoftBank Vision Fund, Sequoia Capital India, Sequoia Capital, Tiger Global Management)",https://grofers.com
19, Jumbotail,Karnataka,Bengaluru,2015,"Ashish Jhina, Karthik Venkateswaran","E-Commerce, Food and Beverage, Grocery, Marketplace, Retail",101-250,"$55,345,400",8,"20 (Kalaari Capital, Nexus Venture Partners, Capria Ventures, Alteria Capital, Hedgewood)",https://www.jumbotail.com
20, slice,Karnataka,Bengaluru,2016,"Deepak Malhotra, Rajan Bajaj","Banking, Financial Services, FinTech, Lending, Payments",251-500,"$53,665,909",8,"20 (Kunal Shah, Northern Arc, InCred, AU Small Finance Bank, Vivriti Capital)",https://sliceit.com
21, InMobi,Karnataka,Bengaluru,2007,"Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah","Advertising, Advertising Platforms, Digital Media, Marketing, Mobile",501-1000,"$320,600,000",7,"6 (Kleiner Perkins, Mumbai Angels, SoftBank Capital, Tennenbaum Capital Partners, Lightbox)",https://www.inmobi.com
22, Dunzo,Karnataka,Bengaluru,2015,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Delivery, Delivery Service, E-Commerce, Mobile, Mobile Apps",1001-5000,"$128,399,438",15,"24 (Google, Greyhound Capital, Lightrock, Blume Ventures, Alteria Capital)",https://dunzo.in
23, BYJUâS,Karnataka,Bengaluru,2011,"Byju Raveendran, Divya Gokulnath","E-Learning, EdTech, Education, Higher Education, Software",10001+,"$2,745,964,432",18,"38 (Silver Lake, Tencent, BlackRock, General Atlantic, DST Global)",https://www.byjus.com
24, Cashfree,Karnataka,Bengaluru,2015,"Akash Sinha, Reeju Datta","Finance, Financial Services, FinTech, Mobile Payments, Payments",251-500,"$40,920,000",4,"6 (Y Combinator, Apis Partners, State Bank of India, Smilegate Investment, Vellayan Subbiah)",https://www.cashfree.com
25, MediBuddy,Karnataka,Bengaluru,2000,Satish Kannan,"Health Care, Health Insurance, Medical, mHealth",1001-5000,"$67,132,379",5,"12 (Bessemer Venture Partners, InnoVen Capital, Stride Ventures, FinSight Ventures, JAFCO Asia)",https://www.medibuddy.in
26, Progcap,Delhi,New Delhi,2017,Pallavi Shrivastava,"Enterprise, Finance, Financial Services, FinTech, Supply Chain Management",11-50,"$32,324,325",4,"9 (Sequoia Capital India, Tiger Global Management, Stride Ventures, growX ventures, Sandeep Tandon)",https://www.progcap.com
27, Capital Float,Karnataka,Bengaluru,2013,"Gaurav Hinduja, Sashank Rishyasringa","B2B, Financial Services, FinTech, Small and Medium Businesses",51-100,"$150,417,120",11,"12 (Sequoia Capital India, Ribbit Capital, Sequoia Capital, Northern Arc, Amazon)",https://capitalfloat.com
28, CARS,Haryana,Gurgaon,2015,"Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Artificial Intelligence, Automotive, B2C, E-Commerce, Marketplace, Sales Automation, Software, Transaction Processing",1001-5000,"$393,848,044",5,"21 (DST Global, Sequoia Capital India, 500 Startups, Kingsway Capital, Exor Seeds)",https://www.cars24.com
29, Bharat Biotech,Andhra Pradesh,Hyderabad,1996,"Krishna Ella, Suchitra Ella",Biotechnology,501-1000,"$14,100,000",3,"3 (The Carlyle Group, Coalition for Epidemic Preparedness Innovations, Subhkam Ventures)",https://www.bharatbiotech.com
30, Skillmatics,Maharashtra,Mumbai,2016,"Devanshi Kejriwal, Dhvanil Sheth","Children, Education",11-50,"$7,419,353",2,"2 (Sequoia Capital India, Jalaj Dani Family Office)",https://www.skillmaticsworld.com/
31, Rapido,Karnataka,Bengaluru,2015,"Aravind Sanka, Pavan Guntupalli, Rishikesh SR","Information Services, Mobile Apps, Public Transportation, Taxi Service, Transportation",1001-5000,"$121,996,807",9,"32 (Nexus Venture Partners, Shunwei Capital, Kunal Bahl, Smile Group, Skycatcher)",https://www.rapido.bike
32, Reliance Jio,Maharashtra,Mumbai,2010,Mukesh Ambani,"Apps, Information Services, Internet, Telecommunications",10001+,"$24,767,620,475",16,"35 (Citi, Silver Lake, Facebook, General Atlantic, Google)",https://www.jio.com
33, YourStory,Karnataka,Bengaluru,2008,Shradha Sharma,"Information Technology, Internet, News, Public Relations, Publishing",101-250,"$8,469,522",3,"6 (Qualcomm Ventures, Kalaari Capital, 3one4 Capital, Ratan Tata, Mohandas Pai)",https://yourstory.com/
34, Kodo,Maharashtra,Mumbai,2019,"Deepti Sanghi, Gaurav Thapa","B2B, Financial Services, FinTech, Small and Medium Businesses",11-50,"$8,736,466",2,"5 (Brex, Y Combinator, Pioneer Fund, Goat Capital, Blaine Vess)",https://www.kodo.in
35, Practo,Karnataka,Bengaluru,2008,"Abhinav Lal, Shashank ND","Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps, Pharmaceutical, Wellness",5001-10000,"$228,246,376",7,"14 (Tencent, Sequoia Capital India, Sequoia Capital, RTP Global, Matrix Partners)",https://www.practo.com/
36, NiYO Solutions,Karnataka,Bengaluru,2015,Virender Bisht,"Finance, Financial Services, FinTech",11-50,"$49,200,000",3,"5 (Tencent, Social Capital, Horizons Ventures, Prime Venture Partners, JSCapital)",https://goniyo.com/
37, Reliance Retail,Maharashtra,Mumbai,2006,Mukesh Ambani,"Consumer Goods, Grocery, Retail",10001+,"$6,419,310,306",6,"8 (Silver Lake, General Atlantic, GIC, Saudi Arabia's Public Investment Fund, TPG)",https://relianceretail.com/
38, Locus.sh,Karnataka,Bengaluru,2015,"Geet Garg, Nishith Rastogi","Big Data, Data Visualization, Logistics, Software",251-500,"$78,750,000",6,"25 (Kunal Shah, GIC, Tiger Global Management, Qualcomm Ventures, Pi Ventures)",https://www.locus.sh
39, KreditBee,Karnataka,Bengaluru,2018,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","Financial Services, FinTech, Internet, Lending",1001-5000,"â¹11,117,000,000",3,"7 (PremjiInvest, Arkam Ventures, Mirae Asset-Naver Asia Growth Fund, Motilal Oswal Private Equity, NewQuest Capital Partners)",https://www.kreditbee.in/
40, boAt,Delhi,New Delhi,2016,"Aman Gupta, Sameer Mehta","Consumer Electronics, Fashion, Lifestyle, Wearables",101-250,"$116,258,656",6,"5 (Qualcomm Ventures, Warburg Pincus, InnoVen Capital, Fireside Ventures, Navi Technologies)",https://www.boat-lifestyle.com/
41, Flipkart,Karnataka,Bengaluru,2007,"Binny Bansal, Sachin Bansal","E-Commerce, Internet, Retail, Shopping",10001+,"$9,009,184,737",24,"24 (Tencent, SoftBank Vision Fund, DST Global, Walmart, Microsoft)",https://www.flipkart.com/
42, MobiKwik,Haryana,Gurgaon,2009,"Bipin Singh, Chandan Joshi, Upasana Taku","Consumer Lending, Financial Services, FinTech, Lending, Mobile Payments, Payments, Wealth Management",251-500,"$165,518,505",15,"26 (Sequoia Capital India, Abu Dhabi Investment Authority, InnoVen Capital, Cisco, NET1 UEPS Technologies Inc.)",https://www.mobikwik.com
43, Cuemath,Karnataka,Bengaluru,2013,Manan Khurma,"E-Learning, EdTech, Education, STEM Education",1001-5000,"$64,495,265",5,"8 (Sequoia Capital India, Alphabet, Manta Ray Ventures, CapitalG, Trifecta Capital Advisors)",https://www.cuemath.com/
44, Jai Kisan,Maharashtra,Mumbai,2017,"Adriel Maniego, Arjun Ahluwalia","Agriculture, AgTech, Financial Services, FinTech",11-50,"$35,400,000",5,"18 (BlackSoil, Blume Ventures, Stride Ventures, Better Capital, Mirae Asset Venture Investment)",https://jai-kisan.com/
45, Infra.Market,Maharashtra,Thane,2016,"Aaditya Sharda, Souvik Sengupta","Construction, E-Commerce, Marketplace, Procurement",51-100,"$161,545,747",7,"8 (Tiger Global Management, Accel, Nexus Venture Partners, InnoVen Capital, Foundamental)",http://www.infra.market
46, Xpressbees,Maharashtra,Pune,2015,"Amitava Saha, Supam Maheshwari","Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management",10001+,"$277,583,000",8,"11 (Alibaba Group, Norwest Venture Partners, New Enterprise Associates, Vertex Ventures, Investcorp)",https://www.xpressbees.com/
47, Northern Arc,Tamil Nadu,Chennai,2008,Kshama Fernandes,"Enterprise, Finance, Financial Services",51-100,"$383,626,249",11,"12 (Standard Chartered Bank, Eight Roads Ventures, Sumitomo Mitsui Banking Corporation, Kotak Mahindra Bank, LeapFrog Investments)",https://northernarc.com/
48, Toppr,Maharashtra,Mumbai,2013,"Hemanth Goteti, Zishaan Hayath","E-Learning, EdTech, Education",1001-5000,"$112,087,670",11,"14 (InnoVen Capital, SAIF Partners, Eight Roads Ventures, Alteria Capital, Helion Venture Partners)",http://www.toppr.com/
49, MyGlamm,Maharashtra,Mumbai,2015,"Darpan Sanghvi, Priyanka Gill","Beauty, Marketplace, Mobile Apps",101-250,"$56,035,717",8,"14 (Bessemer Venture Partners, Amazon, Kalaari Capital, Trifecta Capital Advisors, Brand Capital)",https://www.myglamm.com/
50, ZoomCar,Karnataka,Bengaluru,2012,"David Back, Greg Moran","Automotive, E-Commerce, Rental, Reservations, Transportation",501-1000,"$274,145,634",20,"36 (OurCrowd, FundersClub, Sequoia Capital India, Sequoia Capital, ZoomCar)",https://www.zoomcar.com
51, Snapdeal,Haryana,Gurgaon,2010,"Kunal Bahl, Rohit Bansal","Consumer Electronics, E-Commerce, Internet, Marketplace, Retail, Shopping",1001-5000,"$1,776,260,825",13,"26 (BlackRock, Bessemer Venture Partners, Alibaba Group, Intel Capital, Temasek Holdings)",https://www.snapdeal.com
52, WhiteHat Education Technology,Maharashtra,Andheri,2018,Karan Bajaj,Education,101-250,"$11,294,388",2,"3 (Nexus Venture Partners, Owl Ventures, Omidyar Network)",https://www.whitehatjr.com/
53, CarDekho,Haryana,Gurgaon,2007,"Amit Jain, Anurag Jain","Automotive, E-Commerce, Information Services, Information Technology, Software",501-1000,"$247,500,000",7,"14 (Sequoia Capital India, Sequoia Capital, HDFC Bank, CapitalG, Dentsu)",https://www.cardekho.com/
54, Koo App,Karnataka,Bengaluru,2020,"Aprameya Radhakrishna, Mayank Bidawatka","Apps, Internet, Social Media, Software",11-50,"$33,997,488",3,"10 (Tiger Global Management, Accel, Kalaari Capital, 3one4 Capital, Blume Ventures)",https://www.kooapp.com
55, Porter,Karnataka,Bengaluru,2014,"Pranav Goel, Uttam Digga, Vikas Choudhary","E-Commerce, Internet, Logistics, Supply Chain Management",1001-5000,"$32,070,087",6,"6 (Sequoia Capital India, InnoVen Capital, Mahindra Rise, Lightrock, Kae Capital)",https://porter.in
56, Skyroot Aerospace,Andhra Pradesh,Hyderabad,2018,"Naga Bharath Daka, Pawan Kumar Chandana","Aerospace, Transportation",11-50,"$14,938,971",3,"9 (Graph Ventures, Mukesh Bansal, Neeraj Arora, Sutton Capital, WorldQuant Ventures LLC)",https://skyroot.in/
57, Holisol logistics,Delhi,New Delhi,2009,"Manish Ahuja, Naveen Rawat, Rahul Dogar","Business Development, Logistics, Supply Chain Management",51-100,"$27,307,486",5,"4 (Northern Arc, BlackSoil, CLSA Capital Partners, Sundeep Bhandari)",https://www.holisollogistics.com
58, Exotel,Karnataka,Bengaluru,2011,Shivakumar Ganesan,"Cloud Data Services, Messaging, Mobile Apps",101-250,"$12,294,124",4,"8 (Blume Ventures, Mumbai Angels, Binny Bansal, A91 Partners, Deep Kalra)",https://exotel.com/
59, CarTrade,Maharashtra,Mumbai,2009,Vinay Sanghi,"Auctions, Automotive, E-Commerce, Marketplace",1001-5000,"$307,351,129",8,"9 (Canaan Partners, Temasek Holdings, Tiger Global Management, March Capital, Warburg Pincus)",https://CarTrade.com
60, OPEN,Karnataka,Bengaluru,2017,"Ajeesh Achuthan, Anish Achuthan, Deena Jacon, Mabel Chacko","Banking, Billing, Finance, Financial Services, FinTech, Payments",251-500,"$37,400,000",5,"13 (AngelList, Tiger Global Management, Speedinvest, BEENEXT, 3one4 Capital)",https://open.money
61, InCred,Maharashtra,Mumbai,2016,Bhupinder Singh,"Banking, Consumer Lending, Finance, Financial Services, FinTech, Lending",1001-5000,"$254,425,980",8,"17 (Asas Capital, FMO, Moore Strategic Ventures, Alpha Capital, Vistra ITCL)",https://www.incred.com
62, Pepperfry,Maharashtra,Mumbai,2011,"Ambareesh Murty, Ashish Shah","E-Commerce, Furniture, Marketplace, Retail",501-1000,"$245,341,627",9,"8 (Goldman Sachs, Norwest Venture Partners, InnoVen Capital, Bertelsmann, Pidilite Industries Limited)",https://www.pepperfry.com
63, Shadowfax,Karnataka,Bengaluru,2015,"Abhishek Bansal, Vaibhav Khandelwal","Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management",501-1000,"$119,680,000",6,"13 (Flipkart, International Finance Corporation, Qualcomm Ventures, Mirae Asset Global Investments, InnoVen Capital)",https://shadowfax.in/
64, The Man Company,Haryana,Gurgaon,2015,"Bhisham Bhateja, Hitesh Dhingra, Parvesh Kumar","Beauty, Consumer Goods",101-250,"$14,128,602",6,"5 (Smile Group, Emami, Redcliffe Capital, Ayushmann Khurrana, Tidhar Carmeli)",https://www.themancompany.com/
65, Agnikul,Tamil Nadu,Chennai,2017,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran","Aerospace, Manufacturing, Nanotechnology",51-100,"$14,543,144",4,"17 (LetsVenture, Pi Ventures, BEENEXT, Mayfield Fund, Naval Ravikant)",https://www.agnikul.in/
66, Shop,Maharashtra,Mumbai,2015,"Abhinav Jain, Aditya Gupta, Kalpak Chhajed","Apps, Consumer Goods, E-Commerce, Internet, Online Portals",101-250,"$19,879,176",3,"6 (Kalaari Capital, Unilever Ventures, Stellaris Venture Partners, Vy Capital, Ramakant Sharma)",https://www.shop101.com/
67, Plum,Karnataka,Bengaluru,2019,"Abhishek Poddar, Saurabh Arora","Employee Benefits, Health Care, Health Insurance, Human Resources, Insurance",11-50,"$20,645,163",5,"23 (Sequoia Capital, Kunal Shah, Tiger Global Management, Shrishti Sahu, Gaurav Munjal)",https://www.plumhq.com/
68, Pee Safe,Haryana,Gurgaon,2013,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Consumer Goods, Fast-Moving Consumer Goods, Fitness, Health Care, Wellness",101-250,"$9,653,620",6,"16 (Venture Catalysts, Alkemi Venture Partners, Rahul Maroli, 50K Ventures, Redcliffe Capital)",https://www.peesafe.com
69, cure.fit,Karnataka,Bengaluru,2016,"Ankit Nagori, Mukesh Bansal","Apps, Fitness, Health Care, Wellness",101-250,"$479,575,960",10,"33 (Temasek Holdings, Axis Bank, Gokul Rajaram, Accel, Kalaari Capital)",https://www.cure.fit
70, Nykaa,Maharashtra,Mumbai,2012,Falguni Nayar,"Beauty, E-Commerce, Fashion, Lifestyle, Online Portals, Wellness",1001-5000,"$341,858,615",13,"15 (Fidelity Management and Research Company, Steadview Capital, Max Ventures and Industries, TVS Capital Funds, Lighthouse Funds)",https://www.nykaa.com
71, NoBroker,Karnataka,Bengaluru,2014,"Akhil Gupta, Amit Agarwal","Commercial Real Estate, Mobile Apps, Property Management, Real Estate, Software",51-100,"$214,452,563",10,"13 (General Atlantic, Tiger Global Management, BEENEXT, SAIF Partners, rocketship.vc)",http://www.nobroker.com/
72, PharmEasy,Maharashtra,Mumbai,2015,"Dharmil Sheth, Dhaval Shah, Mikhil Innani","Health Care, Health Diagnostics, Pharmaceutical, Wellness",501-1000,"$671,538,857",9,"26 (Bessemer Venture Partners, Temasek Holdings, B Capital Group, F-Prime Capital, Manipal Group)",https://pharmeasy.in
