,Company,State,City,Started in,Founders,Industries,Number of employees,Funding,Funding rounds,Number of investors,Website
223, Freight Tiger,Maharashtra,Mumbai,2014,Swapnil Shah,"Automotive, Logistics, Transportation",11-50,"â¹550,000,000",1,"3 (Lightspeed India Partners, Pawan Munjal Family Trust, Alsthom industries)",https://www.freighttiger.com/
224, unlu,Haryana,Gurgaon,2020,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal","Celebrity, Internet, Media and Entertainment, Social Media",11-50,"$1,284,058",2,"4 (Nexus Venture Partners, Mumbai Angels, EXPERT DOJO, TiE Pune)",https://www.unlu.io
225, KIMS Hospitals,Andhra Pradesh,Hyderabad,2000,Bhaskar Rao,"Health Care, Hospital, Medical",11-50,"$139,178,803",3,"3 (General Atlantic, Ñpeople, True North)",https://www.kimshospitals.com/
226, InterviewBit,Karnataka,Bengaluru,2015,"Abhimanyu Saxena, Anshuman Singh","E-Learning, Employment, Information Technology, Internet, Recruiting, Software",101-250,"$21,500,000",2,"4 (Sequoia Capital India, Tiger Global Management, Global Founders Capital, Surge)",https://www.interviewbit.com
227, Oye Rickshaw,Haryana,Gurgaon,2017,"Akash Deep, Mohit Sharma","Electric Vehicle, Last Mile Transportation, Public Transportation, Transportation",251-500,"$13,275,120",3,"10 (Xiaomi, Alteria Capital, Matrix Partners India, Kunal Bahl, Rohit Bansal)",https://www.oyerickshaw.com/
228, Arzooo.com,Karnataka,Bengaluru,2018,"Khushnud Khan, Rishi Raj Rathore","Consumer Electronics, Electronics, Retail, Retail Technology, Shopping",251-500,"$14,800,000",6,"11 (Eric Yuan, Celesta Capital, Trifecta Capital Advisors, Bill Tai, Jabbar Internet Group)",https://arzooo.com
229, Amber Group,Haryana,Gurgaon,1990,Kartar Singh,"Consumer Electronics, Electronics, Home Services, Industrial Manufacturing, Machinery Manufacturing, Manufacturing",51-100,"â¹1,787,100,000",1,"9 (Goldman Sachs, BlackRock, Abu Dhabi Investment Authority, ICICI Prudential Life Insurance, Reliance Capital)",https://www.ambergroupindia.com
230, Star Health and Allied Insurance,Tamil Nadu,Nungambakkam,2006,,"Health Care, Health Insurance, Insurance",1001-5000,"$173,773,498",3,"6 (Sequoia Capital India, GIC, Capital Group, Apis Partners, ICICI Venture)",https://www.starhealth.in/
231, Magicbricks,Uttar Pradesh,Noida,2006,Times Internet,"Commercial Real Estate, Online Portals, Real Estate",1001-5000,"â¹300,000,000",1,1 (Times Internet),https://www.magicbricks.com
232, Unbxd,Karnataka,Bengaluru,2011,"Pavan Sondur, Prashant Kumar","Artificial Intelligence, Big Data, E-Commerce, Machine Learning, Navigation, Product Search, Search Engine, Software",101-250,"$14,500,000",7,"13 (InnoVen Capital, Indian Angel Network, Eight Roads Ventures, Orios Venture Partners, Chiratae Ventures)",https://www.unbxd.com
233, LIDO,Maharashtra,Mumbai,2019,Sahil Sheth,"E-Learning, EdTech, Education, Software",501-1000,"$10,500,000",2,"8 (Picus Capital, Ronnie Screwvala, Ananth Narayanan, Anupam Mittal, BAce Capital)",https://www.lidolearning.com/
234, Yulu,Karnataka,Bengaluru,2017,"Amit Gupta, Hemant Gupta, Naveen Dachuri, RK Misra","Electric Vehicle, Ride Sharing, Sharing Economy, Transportation",101-250,"$19,900,000",4,"7 (3one4 Capital, Blume Ventures, rocketship.vc, Incubate Fund, Bajaj Auto Finance)",https://www.yulu.bike
235, Cashify,Haryana,Gurgaon,2015,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Consumer, Consumer Electronics, E-Commerce, Marketplace",501-1000,"$28,000,000",5,"9 (Bessemer Venture Partners, Aihuishou, Blume Ventures, CDH Investments, Shunwei Capital)",https://www.cashify.in/
236, Revv,Haryana,Gurgaon,2015,"Anupam Agarwal, Karan Jain","Apps, Automotive, Rental",101-250,"$23,300,000",3,"10 (BEENEXT, McKinsey & Company, Mahindra finance, Dream Incubator, LeasePlan)",https://revv.co.in/
237, UrbanPiper,Karnataka,Bengaluru,2015,"Anirban Majumdar, Devarshi Shah, Saurabh Gupta","Food and Beverage, Information Services, Information Technology, Software",101-250,"$10,180,783",3,"4 (Sequoia Capital India, Tiger Global Management, Axilor Ventures, Kumar Vembu)",https://www.urbanpiper.com/
238, PropTiger,Haryana,Gurgaon,2011,"Dhruv Agarwala, Kartik Varma, Prashan Agarwal","Intellectual Property, Marketing, Real Estate",501-1000,"$85,000,000",2,"3 (SoftBank, REA Group, News Corp)",https://www.proptiger.com
239, Miko,Maharashtra,Mumbai,2015,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Artificial Intelligence, Consumer Electronics, EdTech, Hardware, Internet of Things, Machine Learning, Robotics",101-250,"$21,540,065",5,"9 (IDG Capital, Stride Ventures, IvyCap Ventures, Chiratae Ventures, YourNest Venture Capital)",https://www.miko.ai/
240, HungerBox,Karnataka,Bengaluru,2015,"Sandipan Mitra, Uttam Kumar","B2B, Food and Beverage, Food Delivery",251-500,"$44,580,231",8,"10 (Paytm, One97, Kris Gopalakrishnan, Pratithi Investment Trust, LionRock Capital)",https://hungerbox.com/
241, OYO,Haryana,Gurgaon,2012,Ritesh Agarwal,"Hospitality, Hotel, Leisure, Reservations, Travel",10001+,"$3,439,351,106",17,"23 (SoftBank, SoftBank Vision Fund, Sequoia Capital India, Didi, Airbnb)",https://www.oyorooms.com
242, Leap Finance,Karnataka,Bengaluru,2019,"Arnav Kumar, Vaibhav Singh","Credit Cards, Education, Financial Services, FinTech, Lending",1-10,"$22,500,000",2,"5 (Sequoia Capital India, Kunal Shah, Owl Ventures, Jungle Ventures, Bhupinder Singh)",https://leapfinance.com/
243, MedPlus,Andhra Pradesh,Hyderabad,2006,Madhukar Gangadi,"E-Commerce, Health Care, Pharmaceutical, Wellness",10001+,"$317,695,079",7,"6 (Goldman Sachs, Warburg Pincus, PremjiInvest, TVS Capital Funds, Peepul Capital LLC)",https://www.medplusindia.com/
244, PiggyRide,Karnataka,Bengaluru,2019,"Manish Tewari, Rohan Kaushal","Children, Education, Information Services, Information Technology, Transportation",11-50,"â¹110,000,000",2,"8 (Ramakant Sharma, JAFCO Asia, Anuj Srivastava, Naveen Tewari, Artha India Ventures)",https://www.piggyride.com/
245, Vernacular.ai,Karnataka,Bengaluru,2016,"Akshay Deshraj, Manoj Sarda, Sourabh Gupta","Artificial Intelligence, Call Center, Customer Service, Internet, Internet of Things, Machine Learning, Natural Language Processing, SaaS, Software, Speech Recognition",51-100,"$5,100,000",4,"7 (LetsVenture, Kalaari Capital, Kstart, Exfinity Venture Partners, IAN Fund)",https://vernacular.ai
246, ShareChat,Karnataka,Bengaluru,2015,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Internet, Mobile Apps, Social Media, Social Network",501-1000,"$824,830,000",10,"17 (Twitter, Xiaomi, Snap, Tiger Global Management, Lightspeed Venture Partners)",https://sharechat.com
247, PhableCare,Karnataka,Bengaluru,2017,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha","Health Care, Internet, Mobile Apps, Personal Health",51-100,"$13,670,000",5,"13 (SOSV, LetsVenture, Manipal Hospitals, Inflection Point Ventures, 91springboard)",https://phablecare.com/
248, OZiva,Maharashtra,Mumbai,2016,"Aarti Gill, Mihir Gadani","Dietary Supplements, Fitness, Health Care, Nutrition, Wellness",51-100,"$17,000,000",2,"4 (Titan Capital, F-Prime Capital, Matrix Partners India, Eight Roads Ventures India)",https://www.oziva.in/
249, Testbook.com,Maharashtra,Mumbai,2013,"Abhishek Sagar, Ashutosh Kumar, Manoj Munna, Narendra Agrawal, Yadvendar Champawat","E-Learning, EdTech, Education",101-250,"$12,550,000",5,"10 (LetsVenture, Matrix Partners India, Better Capital, ah! Ventures, Singapore Angel Network)",https://testbook.com
250, Billdesk,Gujarat,Ahmedabad,2000,Ajay Kaushal,"Finance, FinTech, Payments, Property Development, Rental",251-500,"$241,361,584",4,"7 (General Atlantic, Temasek Holdings, Visa, TA Associates, March Capital)",https://www.billdesk.com/
251, Flatheads,Karnataka,Bengaluru,2019,"Ganesh Balakrishnan, Utkarsh Biradar","E-Commerce, Fashion, Retail, Shoes, Shopping",11-50,"$725,000",2,"7 (GetVantage, AngelList India, Sahil Barua, Pankaj Chaddah, Srivatsan Rajan)",https://www.flatheads.in/
252, Signzy,Karnataka,Bengaluru,2015,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Artificial Intelligence, Finance, Financial Services, FinTech, Risk Management, Software",101-250,"$12,600,000",6,"12 (Mastercard, Vertex Ventures, Kalaari Capital, Stellaris Venture Partners, Amrish Rau)",https://www.signzy.com
253, RAW Pressery,Maharashtra,Mumbai,2014,Anuj Rakyan,"Delivery, Food and Beverage, Food Processing, Organic Food",101-250,"$41,255,467",12,"7 (Sequoia Capital India, Sequoia Capital, InnoVen Capital, DSG Consumer Partners, Alteria Capital)",https://www.rawpressery.com
254, WorkIndia,Maharashtra,Mumbai,2015,"Ajay Kumar, Jatin Jakharia, Kshitij Nagvekar, Kunal Patil, Lokesh Tiwari, Moiz Arsiwala, Nilesh Dungarwal, Soumil Rao","Human Resources, Recruiting, Staffing Agency",51-100,"$6,390,562",3,"4 (Xiaomi, BEENEXT, Satyen V Kothari, Asuka Holding)",https://www.workindia.in/
255, WebEngage,Maharashtra,Mumbai,2011,"Ankit Utreja, Avlesh Singh","Enterprise Software, Marketing Automation, Personalization, SaaS",101-250,"$6,100,000",7,"8 (Social Capital, BlackSoil, Indian Angel Network, Blume Ventures, India Quotient)",https://webengage.com
256, Chumbak,Karnataka,Bengaluru,2009,Subhra Chadda,"E-Commerce, Lifestyle, Shopping",11-50,"$26,963,740",6,"5 (BlackSoil, Matrix Partners India, Gaja Capital, SeedFund.in, Narayan Ramachandran)",https://www.chumbak.com/
257, Mu Sigma,Karnataka,Bengaluru,2004,DHIRAJ C RAJARAM,"Analytics, Business Information Systems, Information Services, Information Technology, Software",1001-5000,"$211,350,000",7,"4 (General Atlantic, Sequoia Capital India, Mastercard, FTV Capital)",https://www.mu-sigma.com
258, Myelin Foundry,Karnataka,Bengaluru,2019,"Aditi Olemann, Ganesh Suryanarayanan, Gopichand Katragadda","Artificial Intelligence, Health Care, Industrial, Information Services, Information Technology, Machine Learning, Media and Entertainment",11-50,"$2,001,796",4,"5 (International Finance Corporation, Endiya Partners, Stellaris Venture Partners, Beyond Next Ventures, Pratithi Investment Trust)",https://www.myelinfoundry.com/
259, JUSPAY,Karnataka,Kormangala,2012,"Ramanathan RV, Vimal Kumar","FinTech, Internet, Mobile Payments, Payments",51-100,"$27,420,684",2,"6 (VEF, Accel, Wellington Management, Ashish Hemrajani, Parikshit Dar)",https://juspay.in/
260, DaMENSCH,Karnataka,Bengaluru,2018,,"E-Commerce, Men's, Textiles",11-50,"â¹637,500,000",3,"5 (Alteria Capital, Matrix Partners India, Whiteboard Capital, Saama Capital, Whiteboard Venture Partners)",https://www.damensch.com/
261, InstantPay,Delhi,New Delhi,2013,Shailendra Agarwal,"E-Commerce, Electronics, Financial Exchanges, Financial Services, Mobile Payments, Payments, Transaction Processing",51-100,"â¹340,000,000",1,"2 (RB Investments Pte. Ltd., Kaleden Holdings)",https://www.instantpay.in
262, ITILITE,Karnataka,Bengaluru,2017,"Anish Khadiya, Mayank Kukreja","Business Travel, Information Technology, Internet",101-250,"$17,271,725",3,"4 (Matrix Partners, Vy Capital, Matrix Partners India, Ashish Gupta)",https://www.itilite.com/
263, Fyle,Karnataka,Bengaluru,2016,"Sivaramakrishnan Narayanan, Yashwanth Madhusudan","Accounting, Artificial Intelligence, Business Information Systems, Business Travel, Finance, FinTech, SaaS",11-50,"$10,361,312",5,"10 (Freshworks, Tiger Global Management, BEENEXT, Steadview Capital, Pravega Ventures)",https://www.fylehq.com
264, Trulymadly.com,Delhi,New Delhi,2013,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Apps, Dating, Internet",11-50,"$8,923,539",4,"23 (Venture Catalysts, AngelList, Inflection Point Ventures, Gaurav Munjal, 9Unicorns Accelerator Fund)",https://trulymadly.com
265, Quess Corp,Karnataka,Bengaluru,2007,Ajit Isaac,"Information Technology, Recruiting",10001+,"$26,500,000",1,"4 (Goldman Sachs, BlackRock, Fidelity, Wasatch Advisors)",https://quesscorp.com/
266, FreshMenu,Karnataka,Bengaluru,2014,Rashmi Daga,"Delivery, Food and Beverage, Food Delivery, Food Processing",501-1000,"$25,837,687",7,"8 (Lightspeed Venture Partners, InnoVen Capital, Lightspeed India Partners, Brand Capital, Zodius Capital)",https://freshmenu.com/
267, NODWIN Gaming,Haryana,Gurgaon,2012,Gautam Virk,"Events, Gaming, Internet, Social Media, Sports",11-50,"â¹1,640,000,000",1,1 (Krafton),https://nodwingaming.com
268, IDfy,Maharashtra,Mumbai,2011,"Ashok Hariharan, Hatim Baheranwala, Vineet Jawa","E-Commerce, FinTech, Fraud Detection, Information Services, Information Technology, Insurance, Internet, Machine Learning",101-250,"$5,168,764",5,"8 (New Enterprise Associates, Blume Ventures, Trifecta Capital Advisors, Dream Incubator, NB Ventures)",https://www.idfy.com/
269, Kinara Capital,Karnataka,Bengaluru,2011,Hardika Shah,"Finance, Financial Services, FinTech, Lending, Micro Lending, Social Entrepreneurship",251-500,"$70,196,840",8,"10 (IndusInd Bank, responsAbility, Impact Investment Exchange (IIX), Michael & Susan Dell Foundation, Gaja Capital)",https://kinaracapital.com
270, Niki,Karnataka,Bengaluru,2015,"Keshav Prawasi, Nitin Babel, Sachin Jaiswal, Shishir Modi","Android, Natural Language Processing",51-100,"$6,287,653",10,"14 (LetsVenture, Ramakant Sharma, FinSight Ventures, Ratan Tata, Haresh Chawla)",https://niki.ai
271, MyGate,Karnataka,Bengaluru,2016,"Abhishek Kumar, Shreyans Daga, Vijay Arisetty","Apps, Information Services, Information Technology, Mobile Apps",501-1000,"$67,262,961",3,"4 (Tencent, Tiger Global Management, Prime Venture Partners, JSCapital)",https://www.mygate.in
272, Neogrowth,Maharashtra,Mumbai,2010,"Dhruv Khaitan, Piyush Khaitan","Business Development, Finance, Financial Services, Market Research",101-250,"$107,798,787",7,"9 (Flourish Ventures, Quona Capital, IIFL, Omidyar Network, LeapFrog Investments)",https://neogrowth.in
273, Paytm Mall,Uttar Pradesh,Noida,2010,Vijay Shekhar Sharma,"E-Commerce, E-Commerce Platforms, Internet, Marketplace, Retail, Shopping",1001-5000,"$795,000,000",3,"4 (SoftBank Vision Fund, Alibaba Group, eBay, SAIF Partners)",https://paytmmall.com/
274, Hopscotch,Maharashtra,Mumbai,2011,Rahul Anand,"E-Commerce, Internet, Retail",251-500,"$52,800,000",5,"16 (Jabbar Internet Group, Rise Capital, Marc Lore, Vinit Bharara, Velos Partners)",https://www.hopscotch.in/
275, Setu,Karnataka,Bengaluru,2018,Sahil Kini,Financial Services,11-50,"$18,549,687",2,"4 (Lightspeed Venture Partners, Falcon Edge Capital, Lightspeed India Partners, Bharat Inclusion Seed Fund)",https://setu.co/
276, Blue Tokai Coffee Roasters,Delhi,Delhi,2012,"Matt Chitharanjan, Namrata Asthana","Consumer Goods, Delivery, Food and Beverage, Food Processing",1-10,"$5,569,257",3,"4 (BOLD Ventures, 8i Ventures, Snow Leopard Technology Ventures, Brew House)",https://bluetokaicoffee.com/
277, Avanse Financial Services,Maharashtra,Mumbai,2012,Amit Gainda,"Education, Finance, Real Estate, Service Industry",251-500,"$60,157,500",3,"2 (International Finance Corporation, WorldBusiness Capital)",https://www.avanse.com
278, Gaana,Uttar Pradesh,Noida,2011,Avinash Mudaliar,"Apps, Music, Music Streaming, Online Portals",251-500,"$166,195,349",3,"3 (Tencent, Times Internet, Micromax Informatics)",https://gaana.com
279, LiquiLoans,Maharashtra,Mumbai,2018,"Achal Mittal, Gautam Adukia",Financial Services,11-50,"$1,784,442",3,"6 (Kunal Shah, Venture Catalysts, Matrix Partners India, Rajesh Mane, Abhishek Dalmia)",https://www.liquiloans.com/
280, Clovia,Uttar Pradesh,Noida,2012,"Neha Kant, Pankaj Vermani, Suman Chowdhury","E-Commerce, Fashion, Lingerie, Retail, Women's",251-500,"$22,685,276",5,"7 (Mountain Partners, IvyCap Ventures, Singularity Ventures, She Capital, Golden Birch Investments)",https://www.clovia.com/
281, Scripbox,Karnataka,Bengaluru,2012,"Ashok Kumar, Atul Shinghal, Sanjiv Singhal","Angel Investment, Finance, Financial Services, FinTech, Wealth Management",101-250,"$23,500,000",4,"12 (Flourish Ventures, Accel, Omidyar Network, Deep Kalra, NuVentures)",https://scripbox.com/
282, RateGain,Uttar Pradesh,Noida,2004,Bhanu Chopra,"Hospitality, Information Technology, Travel",501-1000,"$50,000,000",1,1 (TA Associates),https://rategain.com/
283, Epigamia,Maharashtra,Mumbai,2007,"Ganesh Krishnamoorthy, Milap Shah, Rahul Jain, Rohan Mirchandani, Rohan Mirchandani, Uday Thakker","Consumer, Fast-Moving Consumer Goods, Food and Beverage, Health Care, Nutrition, Snack Food",101-250,"$56,286,865",10,"8 (InnoVen Capital, DSG Consumer Partners, Mousse Partners, Danone Manifesto Venture, KA Enterprises)",https://www.epigamia.com
284, MCaffeine,Maharashtra,Mumbai,2015,"Tarun Sharma, Vikas Lachhwani","Beauty, Consumer, Consumer Goods, E-Commerce, Lifestyle",11-50,"$5,781,631",4,"7 (RPSG Capital Ventures, Amicus Capital, Krishna Mehra, Kaushal Aggarwal, Harminder Sahni)",https://www.mcaffeine.com/
285, Chaayos,Delhi,New Delhi,2012,"Nitin Saluja, Raghav Verma","Food and Beverage, Food Delivery, Restaurants, Tea",1001-5000,"$40,833,000",6,"9 (Tiger Global Management, InnoVen Capital, SAIF Partners, Neeraj Arora, Think Investments)",https://www.chaayos.com/
286, TVF,Maharashtra,Mumbai,2015,Dhawal Gusain,"Digital Entertainment, E-Commerce, Film, Internet, Media and Entertainment",101-250,"$20,970,000",3,1 (Tiger Global Management),https://tvfplay.com/
287, WOW Skin Science India Ltd,Karnataka,Bengaluru,2016,,"Beauty, Consumer Goods, Cosmetics, Fashion",,"â¹3,730,000,000",1,1 (Chrys Capital),https://www.buywow.in/
288, Financial Software & Systems,Tamil Nadu,Chennai,1991,Nagaraj Mylandla,"Debit Cards, Financial Services, FinTech, Information Services, Information Technology, Mobile Payments, Payments, Software, Transaction Processing",1001-5000,"$129,250,000",4,"4 (New Enterprise Associates, The Carlyle Group, PremjiInvest, Jacob Ballas Capital India)",https://www.fsstech.com/
289, Ezetap,Karnataka,Bengaluru,2011,"Abhijit Bose, Bala Parthasarathy, Bhaktha Keshavachar, Sanjay Swamy, Shripati Acharya","Mobile, Payments, Point of Sale, Software",101-250,"$51,000,000",6,"8 (Social Capital, Horizons Ventures, American Express, Helion Venture Partners, Prime Venture Partners)",https://www.ezetap.com
290, Financepeer,Maharashtra,Mumbai,2017,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Financial Services, FinTech, Peer to Peer",11-50,"$3,709,141",3,"9 (JITO Angel Network, HEM ANGELS, Danube Group, Milan Ganatra, MS Fincap)",https://www.financepeer.com/
291, Haptik,Maharashtra,Mumbai,2013,"Aakrit Vaish, Swapan Rajdev","Artificial Intelligence, Customer Service, Machine Learning, Messaging, Real Time, Software",101-250,"$12,200,000",2,"3 (Kalaari Capital, Times Internet, Vivek Kumar)",https://haptik.ai/
292, GirnarSoft,Rajasthan,Jaipur,2007,"Amit Jain, Anurag Jain","Developer Tools, Enterprise Software, Mobile, Software, Web Development",501-1000,"$108,650,000",5,"5 (Sequoia Capital, CapitalG, Hillhouse Capital Group, Trifecta Capital Advisors, Tybourne Capital Management)",http://girnarsoft.com/
293, Meesho,Karnataka,Bengaluru,2015,"Sanjeev Barnwal, Vidit Aatrey","E-Commerce, E-Commerce Platforms, Mobile Apps, Retail, Social Media",1001-5000,"$515,200,000",9,"25 (Facebook, SoftBank Vision Fund, Sequoia Capital India, Y Combinator, Prosus Ventures)",https://www.meesho.com/
294, Lenskart,Haryana,Faridabad,2010,"Amit Chaudhary, Peyush Bansal","Delivery, E-Commerce, Eyewear, Fashion, Health Care, Internet, Shopping",251-500,"$554,629,632",10,"15 (SoftBank Vision Fund, Temasek Holdings, TPG, Falcon Edge Capital, PremjiInvest)",https://www.lenskart.com
295, Udaan,Karnataka,Bengaluru,2016,"Amod Malviya, Sujeet Kumar, Vaibhav Gupta","B2B, Business Development, E-Commerce, Internet, Retail",5001-10000,"$1,179,919,113",6,"13 (Tencent, DST Global, GGV Capital, Citi Ventures, Lightspeed Venture Partners)",https://udaan.com/
296, Zolve,Karnataka,Bengaluru,2020,,"Banking, Financial Services",11-50,"$15,000,000",1,"9 (Kunal Shah, Accel, Founder Collective, Blume Ventures, Rahul Mehta)",https://zolve.com/
297, SafexPay,Maharashtra,Thane,2017,Ravi Gupta,"FinTech, Payments",51-100,"â¹440,000,000",1,"2 (Arbor Advisors, T Choithrams BVI)",https://www.safexpay.com/
298, Pariksha,Maharashtra,Pune,2015,"Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","E-Learning, EdTech, Education, Skill Assessment",51-100,"$6,065,079",7,"20 (Venture Catalysts, LetsVenture, 9Unicorns Accelerator Fund, Nikhil Vora, Bharat Inclusion Seed Fund)",https://www.pariksha.co/
299, Fyllo,Karnataka,Bengaluru,2019,"Sachin Gautam, Sudhanshu Rai, Sumit Sheoran","Agriculture, AgTech, Artificial Intelligence, Internet of Things",11-50,"$557,033",4,"6 (Titan Capital, Indian Angel Network, 100X.VC, Lead Angels Network, Government of India)",https://www.fyllo.in
